Qidentifier	Qtitle	Qpagename	Qsubtitle	Qetymology	Qdefinition	Qsubmitted	Qemailaddress	QDateSubmitted	Qposter	QPosterEmail	QDateEdited	QUpdateDescription
Identifier	Word	Page Name	Part of Speech	Etymology	Definition	Submitted By	E-mail Address	Date Submitted	Updated By	Your E-mail Address	Date Edited	Description Of Update
Identifier	Title	PageName	Text	Subtitle	Text	Name	Text	Date	Name	Text	Date	Text
Never	Always	Never	Sometimes	Sometimes	Always	Always	Never	Sometimes	Sometimes	Never	Sometimes	Sometimes
Unindexed	Unindexed	Unindexed	Unindexed	Unindexed	Unindexed	Unindexed	Unindexed	Unindexed	Unindexed	Unindexed	Unindexed	Unindexed
Uneditable	Required	Uneditable	Optional	Optional	Required	Uneditable	Uneditable	Uneditable	Re-enter	Re-enter	Uneditable	Re-enter
 4891 	visposa	dbx_v_index.htm#visposa	n. modif.	sight+position+{noun-modifier}	in view -- arranged in the best position to be seen.	HMM	Proofread	11/11/99 	NA	NA	11/11/99 	NA
 3704 	pelbomb	dbx_p_index.htm#pelbomb	n.	interval+bomb	time bomb -- an explosive device rigged to go off after a set interval of time.	HMM	Proofread	11/11/99 	NA	NA	11/11/99 	NA
 731 	bombsenta	dbx_b_index.htm#bombsenta	n. modif.	bomb+emotion+{noun-modifier}	quick-tempered -- easily triggered to violent emotional reactions.	HMM	Proofread	11/11/99 	NA	NA	11/11/99 	NA
 1317 	comanjbazar	dbx_c_index.htm#comanjbazar	n.	eating+market	food court -- a place inside a mall where many restaurants are located together	JAH	Unproofed	11/12/99 	NA	NA	11/12/99 	NA
 1595 	dartjam	dbx_d_index.htm#dartjam	n.	dirt+tuber	potato, Solanum tuberosum -- an edible tuber native to South America, known as a staple food of Ireland	JAH	Unproofed	11/12/99 	NA	NA	11/12/99 	NA
 2680 	lanslet	dbx_l_index.htm#lanslet	n.	spear+{diminutive}	arrow -- a small spear-like weapon designed to fly through the air when shot by a bow.	HMM	Proofread	11/12/99 	NA	NA	11/12/99 	NA
 3393 	musichim	dbx_m_index.htm#musichim	n.	music+tool	musical instrument -- a device used for creating musical sounds.	HMM	Proofread	11/12/99 	NA	NA	11/12/99 	NA
 4206 	sentcatgarm	dbx_s_index.htm#sentcatgarm	n.	emotion+cut+communication-unit	insult -- a rude expression intended to offend or hurt	JAH	Unproofed	11/12/99 	NA	NA	11/12/99 	NA
 4829 	velgid	dbx_v_index.htm#velgid	n.	{fast-object}+food	fast food -- standardized food, such as chicken or hamburgers, served quickly for consumption	JAH	Unproofed	11/12/99 	NA	NA	11/12/99 	NA
 2683 	lansletcanon	dbx_l_index.htm#lansletcanon	n.	spear+{diminutive}+cannon	bow -- curved piece of resilient wood with taut cord to propel arrows	JAH	Unproofed	11/12/99 	NA	NA	11/12/99 	NA
 2684 	lansletcirv	dbx_l_index.htm#lansletcirv	n.	spear+{diminutive}+curve	bow -- curved piece of resilient wood with taut cord to propel arrows	JAH	Unproofed	11/12/99 	NA	NA	11/12/99 	NA
 2688 	lansletmovvuh	dbx_l_index.htm#lansletmovvuh	n.	spear+{diminutive}+movement+weapon	bow -- curved piece of resilient wood with taut cord to propel arrows	JAH	Unproofed	11/12/99 	NA	NA	11/12/99 	NA
 2689 	lansletvuh	dbx_l_index.htm#lansletvuh	n.	spear+{diminutive}+weapon	bow -- curved piece of resilient wood with taut cord to propel arrows	JAH	Unproofed	11/12/99 	NA	NA	11/12/99 	NA
 4012 	runcarasforl	dbx_r_index.htm#runcarasforl	n.	red+love+flower	rose	JAH	Unproofed	11/12/99 	NA	NA	11/12/99 	NA
 1596 	dartjammusichim	dbx_d_index.htm#dartjammusichim	n.	dirt+tuber+music+tool	ocarina -- a musical instrument with a somewhat potato-like appearance, producing a flute-like tone.	HMM	Proofread	11/12/99 	NA	NA	11/12/99 	NA
 1598 	dartjamsut	dbx_d_index.htm#dartjamsut	n.	dirt+tuber+thread	french fry -- a thin strip of potato (typically skinned) fried in fat	JAH	Unproofed	11/12/99 	NA	NA	11/12/99 	NA
 1319 	comanjbin	dbx_c_index.htm#comanjbin	n.	eating+building	restaurant -- a place where food is served to the public	JAH	Unproofed	11/12/99 	NA	NA	11/12/99 	NA
 3476 	nassensu	dbx_n_index.htm#nassensu	v.	nose+sense+{verb}	smell	JAH	Unproofed	11/12/99 	NA	NA	11/12/99 	NA
 1320 	comanjbinlet	dbx_c_index.htm#comanjbinlet	n.	eating+building+{diminutive}	fast-food restaurant -- restaurants serving a comparatively limited menu of standardized food for consumption on the premises or elsewhere;  in the U.S., often have drive-thru windows	JAH	Unproofed	11/12/99 	NA	NA	11/12/99 	NA
 1925 	duvsanj	dbx_d_index.htm#duvsanj	n.	two+bread	sandwich -- two or more slices of bread one on top of the other with one or more other foods (such as meat or cheese or jams or spreads) placed between them	JAH	Unproofed	11/12/99 	NA	NA	11/12/99 	NA
 729 	bombforl	dbx_b_index.htm#bombforl	n.	bomb+flower	bombflower -- a plant in the game Legend of Zelda (Ocarina of Time, trademark of Nintendo, which produces bombs)	HMM	Proofread	11/12/99 	NA	NA	11/12/99 	NA
 1185 	cirvbarvuh	dbx_c_index.htm#cirvbarvuh	n.	curve+bar+weapon	boomerang -- a V-shaped wooden bar used as a throwing weapon.	HMM	Proofread	11/12/99 	NA	NA	11/12/99 	NA
 1973 	fabjant	dbx_f_index.htm#fabjant	n.	creation+animal	monster -- imaginary creature typically made up of various human and animal parts	JAH	Unproofed	11/12/99 	NA	NA	11/12/99 	NA
 2581 	jebfabjant	dbx_j_index.htm#jebfabjant	n.	pocket+creation+animal	Pok�mon (registered U.S. trademark of Nintendo) -- general name given to the many creatures found in the Pok�mon universe, which is the subject of video games, trading card games and cartoons	JAH	Unproofed	11/12/99 	NA	NA	11/12/99 	NA
 1210 	cirvvuh	dbx_c_index.htm#cirvvuh	n.	curve+weapon	bow -- curved piece of resilient wood with taut cord to propel arrows	JAH	Unproofed	11/12/99 	NA	NA	11/12/99 	NA
 4281 	sircmans	dbx_s_index.htm#sircmans	n.	circle+meat	hamburger -- a patty of meat, typically ground beef	JAH	Unproofed	11/12/99 	NA	NA	11/12/99 	NA
 4282 	sircmanssanj	dbx_s_index.htm#sircmanssanj	n.	circle+meat+bread	hamburger bun -- a circular roll with a rounded top (sometimes with sesame seeds), typically eaten with a hamburger patty	JAH	Unproofed	11/12/99 	NA	NA	11/12/99 	NA
 4294 	sircsanj	dbx_s_index.htm#sircsanj	n.	circle+bread	bun -- a circular roll with a rounded top (sometimes with sesame seeds)	JAH	Unproofed	11/12/99 	NA	NA	11/12/99 	NA
 2296 	hafervuh	dbx_h_index.htm#hafervuh	n.	blade+weapon	sword -- a weapon consisting of a long metal blade with a handle.	HMM	Proofread	11/12/99 	NA	NA	11/12/99 	NA
 4691 	vanbacvoc	dbx_v_index.htm#vanbacvoc	n.	one+alphabet+word	acronym -- a word formed from the initial letters of a multi-word name	JAH	Unproofed	11/12/99 	NA	NA	11/12/99 	NA
 4505 	tamcongidset	dbx_t_index.htm#tamcongidset	n.	{expensive-object}+{opposite}+food+set	value meal -- a meal sold as a unit (typically sandwich, drink and side order) with a discounted price when compared to purchasing each item separately	JAH	Unproofed	11/12/99 	NA	NA	11/12/99 	NA
 1138 	catvoc	dbx_c_index.htm#catvoc	n.	cut+word	abbreviation -- a shortened form of a word or phrase	JAH	Unproofed	11/12/99 	NA	NA	11/12/99 	NA
 4343 	sispper	dbx_s_index.htm#sispper	n.	insect+person	fairy -- a small flying person with insect-like wings.	HMM	Proofread	11/12/99 	NA	NA	11/12/99 	NA
 1021 	carblic	dbx_c_index.htm#carblic	n.	carbon+liquid	soft drink, pop, soda, tonic, cold drink -- a nonalcoholic, flavored, carbonated beverage	JAH	Unproofed	11/12/99 	NA	NA	11/12/99 	NA
 4772 	vatbez	dbx_v_index.htm#vatbez	n.	water+absence	dry object -- an object lacking water	HMM	Proofread	11/12/99 	NA	NA	11/12/99 	NA
 5048 	vovfonhim	dbx_v_index.htm#vovfonhim	n.	egg+sound+tool	ocarina -- a musical instrument with a somewhat potato-like appearance, producing a flute-like tone	JAH	Unproofed	11/12/99 	NA	NA	11/12/99 	NA
 5050 	vovhir	dbx_v_index.htm#vovhir	n.	egg+bird	chicken -- the common domestic fowl, Gallus domesticus, typically domesticated for egg production	JAH	Unproofed	11/12/99 	NA	NA	11/12/99 	NA
 5051 	vovhirmanslet	dbx_v_index.htm#vovhirmanslet	n.	egg+bird+meat+{diminutive}	chicken nugget -- chicken meat cut into small uniform pieces and breaded and deep fried	JAH	Unproofed	11/12/99 	NA	NA	11/12/99 	NA
 2060 	finmovu	dbx_f_index.htm#finmovu	v.	ending+movement+{verb}	stop	JAH	Unproofed	11/12/99 	NA	NA	11/12/99 	NA
 4775 	vatbezcah	dbx_v_index.htm#vatbezcah	n.	water+absence+{abstraction}	dryness -- the state of lacking water	HMM	Proofread	11/12/99 	NA	NA	11/12/99 	NA
 1050 	carcvuh	dbx_c_index.htm#carcvuh	n.	{sharp-object}+weapon	hafervuh [blade+weapon] sword -- a weapon consisting of a long metal blade with a handle	JAH	Unproofed	11/12/99 	NA	NA	11/12/99 	NA
 1029 	carbvat	dbx_c_index.htm#carbvat	n.	carbon+water	carbonated water, club soda, seltzer -- effervescent water, charged under pressure with purified carbon dioxide gas, usually containing salts and used as a beverage or mixer	JAH	Unproofed	11/12/99 	NA	NA	11/12/99 	NA
 2099 	fonhim	dbx_f_index.htm#fonhim	n.	sound+tool	musical instrument -- a device used for creating musical sounds	JAH	Unproofed	11/12/99 	NA	NA	11/12/99 	NA
 642 	banerton	dbx_b_index.htm#banerton	n.	flag+{augmentative}	flag pole	JAH	Unproofed	11/13/99 	NA	NA	11/13/99 	NA
 1051 	carcvuh	dbx_c_index.htm#carcvuh	n.	{sharp-object}+weapon	axe	HMM	Unproofed	11/13/99 	NA	NA	11/13/99 	NA
 2387 	hazarcah	dbx_h_index.htm#hazarcah	n.	tree+{abstraction}	wood -- tissue of trees, often cut and dried especially for use as building material and fuel	JAH	Unproofed	11/13/99 	NA	NA	11/13/99 	NA
 1052 	carcvuh	dbx_c_index.htm#carcvuh	n.	{sharp-object}+weapon	dart	HMM	Unproofed	11/13/99 	NA	NA	11/13/99 	NA
 1053 	carcvuh	dbx_c_index.htm#carcvuh	n.	{sharp-object}+weapon	caltrops	HMM	Unproofed	11/13/99 	NA	NA	11/13/99 	NA
 533 	badlet	dbx_b_index.htm#badlet	n.	body-part+{diminutive}	organ	JAH	Unproofed	11/13/99 	NA	NA	11/13/99 	NA
 543 	badmas	dbx_b_index.htm#badmas	n.	body-part+{masculine}	male genitals	JAH	Unproofed	11/13/99 	NA	NA	11/13/99 	NA
 569 	badses	dbx_b_index.htm#badses	n.	body-part+{feminine}	female genitals	JAH	Unproofed	11/13/99 	NA	NA	11/13/99 	NA
 584 	badton	dbx_b_index.htm#badton	n.	body-part+{augmentative}	body	JAH	Unproofed	11/13/99 	NA	NA	11/13/99 	NA
 429 	baccon	dbx_b_index.htm#baccon	n.	alphabet+{opposite}	pictographs	JAH	Unproofed	11/13/99 	NA	NA	11/13/99 	NA
 606 	bahlet	dbx_b_index.htm#bahlet	n.	outside+{diminutive}	outer surface	JAH	Unproofed	11/13/99 	NA	NA	11/13/99 	NA
 615 	bahton	dbx_b_index.htm#bahton	n.	outside+{augmentative}	outdoors	JAH	Unproofed	11/13/99 	NA	NA	11/13/99 	NA
 414 	bacarton	dbx_b_index.htm#bacarton	n.	bovine+{augmentative}	buffalo	JAH	Unproofed	11/13/99 	NA	NA	11/13/99 	NA
 627 	bamubton	dbx_b_index.htm#bamubton	n.	bamboo+{augmentative}	bamboo plant	JAH	Unproofed	11/13/99 	NA	NA	11/13/99 	NA
 420 	baccah	dbx_b_index.htm#baccah	n.	alphabet+{abstraction}	writing system	JAH	Unproofed	11/13/99 	NA	NA	11/13/99 	NA
 631 	banccon	dbx_b_index.htm#banccon	n.	reserve+{opposite}	deficit, shortfall	JAH	Unproofed	11/13/99 	NA	NA	11/13/99 	NA
 406 	bacarlet	dbx_b_index.htm#bacarlet	n.	bovine+{diminutive}	ox	JAH	Unproofed	11/13/99 	NA	NA	11/13/99 	NA
 636 	banercah	dbx_b_index.htm#banercah	n.	flag+{abstraction}	signal?	JAH	Unproofed	11/13/99 	NA	NA	11/13/99 	NA
 2650 	langhafervuh	dbx_l_index.htm#langhafervuh	n.	{long-object}+blade+weapon	sword -- a weapon consisting of a long metal blade with a handle	HMM	Unproofed	11/13/99 	NA	NA	11/13/99 	NA
 3993 	rocmovvuh	dbx_r_index.htm#rocmovvuh	n.	rock+movement+weapon	#NAME?	JAH	Unproofed	11/13/99 	NA	NA	11/13/99 	NA
 2651 	langhafervuh	dbx_l_index.htm#langhafervuh	n.	{long-object}+blade+weapon	axe	HMM	Unproofed	11/13/99 	NA	NA	11/13/99 	NA
 637 	banercon	dbx_b_index.htm#banercon	n.	flag+{opposite}	coat of arms	JAH	Unproofed	11/13/99 	NA	NA	11/13/99 	NA
 640 	banerlet	dbx_b_index.htm#banerlet	n.	flag+{diminutive}	canton -- a usually rectangular division of a flag, occupying the upper corner next to the staff	JAH	Unproofed	11/13/99 	NA	NA	11/13/99 	NA
 3358 	muhton	dbx_m_index.htm#muhton	n.	rodent+{augmentative}	rat -- a large rodent of the genus Rattus or similar species.	HMM	Proofread	11/14/99 	NA	NA	11/14/99 	NA
 730 	bomblet	dbx_b_index.htm#bomblet	n.	bomb+{diminutive}	stink bomb, smoke bomb -- a small bomb that emits an odor or smoke	JAH	Unproofed	11/14/99 	NA	NA	11/14/99 	NA
 591 	bahbacfon	dbx_b_index.htm#bahbacfon	n.	outside+alphabet+sound	sound not represented by the Dublex (Roman) alphabet	MHM	Proofread	11/14/99 	NA	NA	11/14/99 	NA
 735 	bombton	dbx_b_index.htm#bombton	n.	bomb+{augmentative}	atom bomb -- a bomb deriving its inhuman explosive power from the release of nuclear energy	JAH	Unproofed	11/14/99 	NA	NA	11/14/99 	NA
 646 	barcbar	dbx_b_index.htm#barcbar	n.	lightning+bar	lightning rod	JAH	Unproofed	11/14/99 	NA	NA	11/14/99 	NA
 648 	barccah	dbx_b_index.htm#barccah	n.	lightning+{abstraction}	flash -- a sudden, short, intense display of light	JAH	Unproofed	11/14/99 	NA	NA	11/14/99 	NA
 650 	barccon	dbx_b_index.htm#barccon	n.	lightning+{opposite}	thunder	JAH	Unproofed	11/14/99 	NA	NA	11/14/99 	NA
 657 	barclet	dbx_b_index.htm#barclet	n.	lightning+{diminutive}	thunderbolt, thunderstone -- a flash of lightning conceived of as a bolt, dart or stone hurled from the heavens	JAH	Unproofed	11/14/99 	NA	NA	11/14/99 	NA
 662 	barcton	dbx_b_index.htm#barcton	n.	lightning+{augmentative}	sheet lightning	JAH	Unproofed	11/14/99 	NA	NA	11/14/99 	NA
 593 	bahcah	dbx_b_index.htm#bahcah	n.	outside+{abstraction}	foreignness	HMM	Unproofed	11/14/99 	NA	NA	11/14/99 	NA
 672 	bazarcah	dbx_b_index.htm#bazarcah	n.	market+{abstraction}	business, marketing	JAH	Unproofed	11/14/99 	NA	NA	11/14/99 	NA
 677 	bazarcon	dbx_b_index.htm#bazarcon	n.	market+{opposite}	factory -- place where goods are made	JAH	Unproofed	11/14/99 	NA	NA	11/14/99 	NA
 2245 	gidtemp	dbx_g_index.htm#gidtemp	n.	food+time	mealtime	MHM	Proofread	11/14/99 	NA	NA	11/14/99 	NA
 685 	bazarton	dbx_b_index.htm#bazarton	n.	market+{augmentative}	market -- a subdivision of a population	JAH	Unproofed	11/14/99 	NA	NA	11/14/99 	NA
 2254 	gitarlet	dbx_g_index.htm#gitarlet	n.	guitar+{diminutive}	ukulele -- a four stringed musical instrument of Hawaiian origin, related to the guitar.	HMM	Proofread	11/14/99 	NA	NA	11/14/99 	NA
 3779 	pictbac	dbx_p_index.htm#pictbac	n.	picture+alphabet	pictographs	HMM	Unproofed	11/14/99 	NA	NA	11/14/99 	NA
 2255 	gitarlet	dbx_g_index.htm#gitarlet	n.	guitar+{diminutive}	ukulele -- a four stringed musical instrument of Hawaiian origin, related to the guitar	HMM	Proofread	11/14/99 	NA	NA	11/14/99 	NA
 2258 	gitarton	dbx_g_index.htm#gitarton	n.	guitar+{augmentative}	bass guitar -- a large guitar with four strings, tuned an octave lower than the regular guitar.	HMM	Proofread	11/14/99 	NA	NA	11/14/99 	NA
 4383 	somcona	dbx_s_index.htm#somcona	n. modif.	sleep+{opposite}+{noun-modifier}	awake, conscious -- being aware of and responsive to one's surroundings.	HMM	Proofread	11/14/99 	NA	NA	11/14/99 	NA
 4386 	somlet	dbx_s_index.htm#somlet	n.	sleep+{diminutive}	nap -- a brief period of light sleep.	HMM	Proofread	11/14/99 	NA	NA	11/14/99 	NA
 4399 	somton	dbx_s_index.htm#somton	n.	sleep+{augmentative}	coma -- an extended period of deep unconsciousness.	HMM	Proofread	11/14/99 	NA	NA	11/14/99 	NA
 3159 	micorcon	dbx_m_index.htm#micorcon	n.	tiny-item+{opposite}	huge	HMM	Proofread	11/14/99 	NA	NA	11/14/99 	NA
 469 	bacton	dbx_b_index.htm#bacton	n.	alphabet+{augmentative}	syllabary	HMM	Proofread	11/14/99 	NA	NA	11/14/99 	NA
 689 	bezcah	dbx_b_index.htm#bezcah	n.	absence+{abstraction}	emptiness	JAH	Unproofed	11/14/99 	NA	NA	11/14/99 	NA
 2040 	ferluft	dbx_f_index.htm#ferluft	n.	iron+air	rust -- iron oxide, FeO2	MHM	Proofread	11/14/99 	NA	NA	11/14/99 	NA
 691 	bezcon	dbx_b_index.htm#bezcon	n.	absence+{opposite}	presence	JAH	Unproofed	11/14/99 	NA	NA	11/14/99 	NA
 407 	bacarlet	dbx_b_index.htm#bacarlet	n.	bovine+{diminutive}	calf	HMM	Proofread	11/14/99 	NA	NA	11/14/99 	NA
 699 	bincah	dbx_b_index.htm#bincah	n.	building+{abstraction}	construction	JAH	Unproofed	11/14/99 	NA	NA	11/14/99 	NA
 703 	bincon	dbx_b_index.htm#bincon	n.	building+{opposite}	tent	JAH	Unproofed	11/14/99 	NA	NA	11/14/99 	NA
 706 	binlet	dbx_b_index.htm#binlet	n.	building+{diminutive}	outbuilding, shed, shack	JAH	Unproofed	11/14/99 	NA	NA	11/14/99 	NA
 445 	baclet	dbx_b_index.htm#baclet	n.	alphabet+{diminutive}	consonant-only alphabet -- an alphabet like that of ancient Hebrew that doesn't mark vowels at all or that, like Tolkien's Elvish scripts, marks vowels as supersigns over the consonants	HMM	Proofread	11/14/99 	NA	NA	11/14/99 	NA
 717 	bircah	dbx_b_index.htm#bircah	n.	barley+{abstraction}	cereal -- starchy grains used as food, from grasses such as wheat, oats, corn or barley	JAH	Unproofed	11/14/99 	NA	NA	11/14/99 	NA
 1863 	durtemp	dbx_d_index.htm#durtemp	n.	{long-event}+time	a long time	MHM	Proofread	11/14/99 	NA	NA	11/14/99 	NA
 722 	birlet	dbx_b_index.htm#birlet	n.	barley+{diminutive}	barleycorn -- the grain of barley	JAH	Unproofed	11/14/99 	NA	NA	11/14/99 	NA
 724 	birton	dbx_b_index.htm#birton	n.	barley+{augmentative}	malt -- barley which has sprouted, used chiefly in brewing and distilling	JAH	Unproofed	11/14/99 	NA	NA	11/14/99 	NA
 5042 	vospvov	dbx_v_index.htm#vospvov	n.	arachnid+egg	spider egg	MHM	Proofread	11/14/99 	NA	NA	11/14/99 	NA
 534 	badlet	dbx_b_index.htm#badlet	n.	body-part+{diminutive}	tissue	HMM	Proofread	11/14/99 	NA	NA	11/14/99 	NA
 2324 	handvoc	dbx_h_index.htm#handvoc	n.	hand+word	sign -- a hand signal that represents a word or phrase	MHM	Proofread	11/14/99 	NA	NA	11/14/99 	NA
 2325 	handvocsist	dbx_h_index.htm#handvocsist	n.	hand+word+system	sign language	MHM	Proofread	11/14/99 	NA	NA	11/14/99 	NA
 727 	bombcah	dbx_b_index.htm#bombcah	n.	bomb+{abstraction}	an explosive	JAH	Unproofed	11/14/99 	NA	NA	11/14/99 	NA
 1944 	duvtempu	dbx_d_index.htm#duvtempu	v.	two+time+{verb}	v. 1. double-time -- to go twice as fast relative to something else.  2. cut-time -- to perform music in 2/4 time.  3. two-time -- to pretend to be exclusively faithful to two separate people.	MHM	Proofread	11/14/99 	NA	NA	11/14/99 	NA
 3332 	movvuh	dbx_m_index.htm#movvuh	n.	movement+weapon	shooter -- a device that propels something through the air, used as a weapon	HMM	Proofread	11/14/99 	NA	NA	11/14/99 	NA
 728 	bombcon	dbx_b_index.htm#bombcon	n.	bomb+{opposite}	a bombshelter	JAH	Unproofed	11/14/99 	NA	NA	11/14/99 	NA
 590 	bahbac	dbx_b_index.htm#bahbac	n.	outside+alphabet	sound not represented by the Dublex (Roman) alphabet (c.f. bahbacfon)	MHM	Proofread	11/14/99 	NA	NA	11/14/99 	NA
 3354 	muhlet	dbx_m_index.htm#muhlet	n.	rodent+{diminutive}	mouse -- a relatively small rodent, such as the house mouse _Mus musculus_ or the deer mouse _Peromyscus maniculatus_.	HMM	Proofread	11/14/99 	NA	NA	11/14/99 	NA
 645 	barcah	dbx_b_index.htm#barcah	n.	bar+{abstraction}	barrier	HMM	Proofread	11/15/99 	NA	NA	11/15/99 	NA
 668 	barlet	dbx_b_index.htm#barlet	n.	bar+{diminutive}	pin	HMM	Proofread	11/15/99 	NA	NA	11/15/99 	NA
 658 	barclet	dbx_b_index.htm#barclet	n.	lightning+{diminutive}	spark	HMM	Proofread	11/15/99 	NA	NA	11/15/99 	NA
 709 	binton	dbx_b_index.htm#binton	n.	building+{augmentative}	palace	HMM	Proofread	11/15/99 	NA	NA	11/15/99 	NA
 693 	bezlet	dbx_b_index.htm#bezlet	n.	absence+{diminutive}	insufficiency -- being a little short of; not having quite enough	HMM	Proofread	11/15/99 	NA	NA	11/15/99 	NA
 3359 	muhton	dbx_m_index.htm#muhton	n.	rodent+{augmentative}	beaver	HMM	Proofread	11/15/99 	NA	NA	11/15/99 	NA
 3360 	muhtonton	dbx_m_index.htm#muhtonton	n.	rodent+{augmentative}+{augmentative}	capybaras	HMM	Proofread	11/15/99 	NA	NA	11/15/99 	NA
 696 	bezton	dbx_b_index.htm#bezton	n.	absence+{augmentative}	total lack of, being devoid of	HMM	Proofread	11/15/99 	NA	NA	11/15/99 	NA
 686 	bazarton	dbx_b_index.htm#bazarton	n.	market+{augmentative}	shopping center, mall	HMM	Proofread	11/15/99 	NA	NA	11/15/99 	NA
 780 	cafazlet	dbx_c_index.htm#cafazlet	n.	jump+{diminutive}	hop	JAH	Proofread	11/16/99 	NA	NA	11/16/99 	NA
 747 	budlet	dbx_b_index.htm#budlet	n.	future+{diminutive}	near future -- involving a short period of time after the present moment	JAH	Proofread	11/16/99 	NA	NA	11/16/99 	NA
 787 	cafazton	dbx_c_index.htm#cafazton	n.	jump+{augmentative}	athletic jump -- a jump in a competition, such as the high jump, long jump or pole jump (pole vault)	JAH	Proofread	11/16/99 	NA	NA	11/16/99 	NA
 790 	cafbez	dbx_c_index.htm#cafbez	n.	coffee+absence	decaf	JAH	Proofread	11/16/99 	NA	NA	11/16/99 	NA
 3693 	pedbezrept	dbx_p_index.htm#pedbezrept	n.	foot+absence+reptile	snake	JAH	Proofread	11/16/99 	NA	NA	11/16/99 	NA
 749 	budleta	dbx_b_index.htm#budleta	n. modif.	future+{diminutive}+{noun-modifier}	near term, short range/adj.	JAH	Proofread	11/16/99 	NA	NA	11/16/99 	NA
 792 	cafcah	dbx_c_index.htm#cafcah	n.	coffee+{abstraction}	a caffeinated beverage such as tea, coffee or soda	JAH	Proofread	11/16/99 	NA	NA	11/16/99 	NA
 795 	cafcon	dbx_c_index.htm#cafcon	n.	coffee+{opposite}	decaf	JAH	Proofread	11/16/99 	NA	NA	11/16/99 	NA
 899 	cancbezsutjant	dbx_c_index.htm#cancbezsutjant	n.	shell+absence+thread+animal	slug	JAH	Proofread	11/16/99 	NA	NA	11/16/99 	NA
 900 	cancbezvanped	dbx_c_index.htm#cancbezvanped	n.	shell+absence+one+foot	slug -- terrestrial gastropod mollusks of the genus Limax and related genera, typically lacking a shell or having an incomplete shell	JAH	Proofread	11/16/99 	NA	NA	11/16/99 	NA
 907 	cancjant	dbx_c_index.htm#cancjant	n.	shell+animal	mollusk -- invertebrate animal of the phylum Mollusca, many of which have a hard external shell of calcium carbonate.	HMM	Proofread	11/16/99 	NA	NA	11/16/99 	NA
 910 	cancmam	dbx_c_index.htm#cancmam	n.	shell+mammal	armadillo -- a mammal of the family Dasypodidae, with a shell-like protective covering.	HMM	Proofread	11/16/99 	NA	NA	11/16/99 	NA
 911 	cancmin	dbx_c_index.htm#cancmin	n.	shell+fish	shellfish	HMM	Proofread	11/16/99 	NA	NA	11/16/99 	NA
 912 	cancrept	dbx_c_index.htm#cancrept	n.	shell+reptile	turtle, tortoise -- a reptile of the order Chelonia, with an external shell.	HMM	Proofread	11/16/99 	NA	NA	11/16/99 	NA
 920 	cancvanped	dbx_c_index.htm#cancvanped	n.	shell+one+foot	snail -- gastropod mollusks having a spirally coiled shell, broad retractile foot and distinct head, typically with eyestalks	JAH	Proofread	11/16/99 	NA	NA	11/16/99 	NA
 4293 	sircrept	dbx_s_index.htm#sircrept	n.	circle+reptile	turtle	JAH	Proofread	11/16/99 	NA	NA	11/16/99 	NA
 796 	cafcon	dbx_c_index.htm#cafcon	n.	coffee+{opposite}	tea	JAH	Proofread	11/16/99 	NA	NA	11/16/99 	NA
 4297 	sirped	dbx_s_index.htm#sirped	n.	zero+foot	worm	JAH	Proofread	11/16/99 	NA	NA	11/16/99 	NA
 4298 	sirped	dbx_s_index.htm#sirped	n.	zero+foot	snake (c.f. sirpedrept)	JAH	Proofread	11/16/99 	NA	NA	11/16/99 	NA
 4304 	sirpedjant	dbx_s_index.htm#sirpedjant	n.	zero+foot+animal	worm	JAH	Proofread	11/16/99 	NA	NA	11/16/99 	NA
 4306 	sirpedrept	dbx_s_index.htm#sirpedrept	n.	zero+foot+reptile	snake	JAH	Proofread	11/16/99 	NA	NA	11/16/99 	NA
 750 	budletcone	dbx_b_index.htm#budletcone	n.	future+{diminutive}+{verb-modifier}+{opposite}	soon/adv. (in the near future)	JAH	Proofread	11/16/99 	NA	NA	11/16/99 	NA
 799 	caflet	dbx_c_index.htm#caflet	n.	coffee+{diminutive}	instant coffee	JAH	Proofread	11/16/99 	NA	NA	11/16/99 	NA
 801 	cafton	dbx_c_index.htm#cafton	n.	coffee+{augmentative}	espresso	JAH	Proofread	11/16/99 	NA	NA	11/16/99 	NA
 802 	cafton	dbx_c_index.htm#cafton	n.	coffee+{augmentative}	mocha	JAH	Proofread	11/16/99 	NA	NA	11/16/99 	NA
 752 	budton	dbx_b_index.htm#budton	n.	future+{augmentative}	far future -- involving a period of time long after the present moment	JAH	Proofread	11/16/99 	NA	NA	11/16/99 	NA
 804 	cahcah	dbx_c_index.htm#cahcah	n.	{abstraction}+{abstraction}	metalevel -- an abstraction of an abstraction	JAH	Proofread	11/16/99 	NA	NA	11/16/99 	NA
 805 	cahcon	dbx_c_index.htm#cahcon	n.	{abstraction}+{opposite}	concrete evidence, data	JAH	Proofread	11/16/99 	NA	NA	11/16/99 	NA
 807 	cahton	dbx_c_index.htm#cahton	n.	{abstraction}+{augmentative}	theory	JAH	Proofread	11/16/99 	NA	NA	11/16/99 	NA
 430 	baccon	dbx_b_index.htm#baccon	n.	alphabet+{opposite}	mathematical notation	HMM	Proofread	11/16/99 	NA	NA	11/16/99 	NA
 4619 	tintmarjant	dbx_t_index.htm#tintmarjant	n.	ink+ocean+animal	cephalopod -- the octopus, squid, cuttlefish and nautilus	JAH	Proofread	11/16/99 	NA	NA	11/16/99 	NA
